Team1,Team2,Date,Year,Time,Place,Toss,TossDecision,Result
KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BENGALURU,"Mar 30, Tue",2010,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Kolkata Knight Riders won by 7 wickets (with 4 balls remaining)
CHENNAI SUPER KINGS,DECCAN CHARGERS,"Mar 31, Wed",2010,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Deccan Chargers won by 31 runs
RAJASTHAN ROYALS,DELHI CAPITALS,"Apr 01, Thu",2010,02:30 PM GMT / 08:00 PM LOCAL,"Narendra Modi Stadium, Ahmedabad",Unknown,Unknown,Delhi Daredevils won by 6 wickets (with 17 balls remaining)
ROYAL CHALLENGERS BENGALURU,PUNJAB KINGS,"Apr 02, Fri",2010,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Royal Challengers Bangalore won by 8 wickets (with 7 balls remaining)
KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS,"Apr 03, Sat",2010,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Chennai Super Kings won by 55 runs
DELHI CAPITALS,MUMBAI INDIANS,"Apr 04, Sun",2010,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Mumbai Indians won by 98 runs
ROYAL CHALLENGERS BENGALURU,RAJASTHAN ROYALS,"Apr 05, Mon",2010,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Royal Challengers Bangalore won by 10 wickets (with 56 balls remaining)
DELHI CAPITALS,CHENNAI SUPER KINGS,"Apr 06, Tue",2010,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Chennai Super Kings won by 5 wickets (with 5 balls remaining)
DECCAN CHARGERS,PUNJAB KINGS,"Apr 07, Wed",2010,02:30 PM GMT / 08:00 PM LOCAL,"Barabati Stadium, Cuttack",Unknown,Unknown,Deccan Chargers won by 6 runs
RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,"Apr 08, Thu",2010,10:30 AM GMT / 04:00 PM LOCAL,"Narendra Modi Stadium, Ahmedabad",Unknown,Unknown,Rajasthan Royals won by 34 runs
MUMBAI INDIANS,ROYAL CHALLENGERS BENGALURU,"Apr 09, Fri",2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Unknown,Unknown,Royal Challengers Bangalore won by 7 wickets (with 5 balls remaining)
DECCAN CHARGERS,DELHI CAPITALS,"Apr 10, Sat",2010,10:30 AM GMT / 04:00 PM LOCAL,"Barabati Stadium, Cuttack",Unknown,Unknown,Deccan Chargers won by 10 runs
CHENNAI SUPER KINGS,PUNJAB KINGS,"Apr 11, Sun",2010,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Match tied (Kings XI Punjab won the one-over eliminator)
MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,"Apr 12, Mon",2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Unknown,Unknown,Mumbai Indians won by 7 wickets (with 9 balls remaining)
ROYAL CHALLENGERS BENGALURU,CHENNAI SUPER KINGS,"Apr 13, Tue",2010,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Royal Challengers Bangalore won by 36 runs
PUNJAB KINGS,RAJASTHAN ROYALS,"Apr 14, Wed",2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Rajasthan Royals won by 31 runs
ROYAL CHALLENGERS BENGALURU,DELHI CAPITALS,"Apr 15, Thu",2010,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Delhi Daredevils won by 17 runs
MUMBAI INDIANS,CHENNAI SUPER KINGS,"Apr 16, Fri",2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Unknown,Unknown,Mumbai Indians won by 5 wickets (with 6 balls remaining)
RAJASTHAN ROYALS,DECCAN CHARGERS,"Apr 17, Sat",2010,02:30 PM GMT / 08:00 PM LOCAL,"Narendra Modi Stadium, Ahmedabad",Unknown,Unknown,Rajasthan Royals won by 8 wickets (with 26 balls remaining)
PUNJAB KINGS,KOLKATA KNIGHT RIDERS,"Apr 18, Sun",2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Kolkata Knight Riders won by 39 runs
RAJASTHAN ROYALS,CHENNAI SUPER KINGS,"Apr 19, Mon",2010,10:30 AM GMT / 04:00 PM LOCAL,"Narendra Modi Stadium, Ahmedabad",Unknown,Unknown,Rajasthan Royals won by 17 runs
DECCAN CHARGERS,MUMBAI INDIANS,"Apr 21, Wed",2010,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Unknown,Unknown,Mumbai Indians won by 41 runs
DELHI CAPITALS,KOLKATA KNIGHT RIDERS,"Apr 22, Thu",2010,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Delhi Daredevils won by 40 runs
MUMBAI INDIANS,PUNJAB KINGS,"Apr 24, Sat",2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Unknown,Unknown,Mumbai Indians won by 4 wickets (with 3 balls remaining)
CHENNAI SUPER KINGS,ROYAL CHALLENGERS BENGALURU,"Apr 25, Sun",2010,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Chennai Super Kings won by 5 wickets (with 7 balls remaining)
DELHI CAPITALS,RAJASTHAN ROYALS,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Delhi Daredevils won by 67 runs
KOLKATA KNIGHT RIDERS,DECCAN CHARGERS,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Kolkata Knight Riders won by 24 runs
PUNJAB KINGS,ROYAL CHALLENGERS BENGALURU,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Royal Challengers Bangalore won by 6 wickets (with 5 balls remaining)
CHENNAI SUPER KINGS,RAJASTHAN ROYALS,Unknown,Unknown,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Chennai Super Kings won by 23 runs
MUMBAI INDIANS,DECCAN CHARGERS,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Unknown,Unknown,Mumbai Indians won by 63 runs
KOLKATA KNIGHT RIDERS,PUNJAB KINGS,Unknown,Unknown,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Kings XI Punjab won by 8 wickets (with 10 balls remaining)
DELHI CAPITALS,ROYAL CHALLENGERS BENGALURU,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Delhi Daredevils won by 37 runs
DECCAN CHARGERS,RAJASTHAN ROYALS,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Vidarbha Cricket Association Stadium, Nagpur",Unknown,Unknown,Rajasthan Royals won by 2 runs
CHENNAI SUPER KINGS,MUMBAI INDIANS,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Chennai Super Kings won by 24 runs
RAJASTHAN ROYALS,PUNJAB KINGS,Unknown,Unknown,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Unknown,Unknown,Rajasthan Royals won by 9 wickets (with 30 balls remaining)
KOLKATA KNIGHT RIDERS,DELHI CAPITALS,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Kolkata Knight Riders won by 14 runs
ROYAL CHALLENGERS BENGALURU,DECCAN CHARGERS,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Deccan Chargers won by 7 wickets (with 4 balls remaining)
PUNJAB KINGS,MUMBAI INDIANS,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Kings XI Punjab won by 6 wickets (with 4 balls remaining)
DECCAN CHARGERS,CHENNAI SUPER KINGS,Unknown,Unknown,10:30 AM GMT / 04:00 PM LOCAL,"Vidarbha Cricket Association Stadium, Nagpur",Unknown,Unknown,Deccan Chargers won by 6 wickets (with 5 balls remaining)
ROYAL CHALLENGERS BENGALURU,KOLKATA KNIGHT RIDERS,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Royal Challengers Bangalore won by 7 wickets (with 17 balls remaining)
DELHI CAPITALS,PUNJAB KINGS,Unknown,Unknown,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Kings XI Punjab won by 7 wickets (with 8 balls remaining)
RAJASTHAN ROYALS,MUMBAI INDIANS,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Unknown,Unknown,Mumbai Indians won by 37 runs
DECCAN CHARGERS,ROYAL CHALLENGERS BENGALURU,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Vidarbha Cricket Association Stadium, Nagpur",Unknown,Unknown,Deccan Chargers won by 13 runs
MUMBAI INDIANS,DELHI CAPITALS,Unknown,Unknown,10:30 AM GMT / 04:00 PM LOCAL,"Brabourne Stadium, Mumbai",Unknown,Unknown,Mumbai Indians won by 39 runs
CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Chennai Super Kings won by 9 wickets (with 39 balls remaining)
RAJASTHAN ROYALS,ROYAL CHALLENGERS BENGALURU,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Unknown,Unknown,Royal Challengers Bangalore won by 5 wickets (with 26 balls remaining)
CHENNAI SUPER KINGS,DELHI CAPITALS,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Delhi Daredevils won by 6 wickets (with 8 balls remaining)
PUNJAB KINGS,DECCAN CHARGERS,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Unknown,Unknown,Deccan Chargers won by 5 wickets (with 5 balls remaining)
ROYAL CHALLENGERS BENGALURU,MUMBAI INDIANS,Unknown,Unknown,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Mumbai Indians won by 57 runs
