Team1,Team2,Date,Year,Time,Place,Toss,TossDecision,Result
RR,DC,"Apr 01, Thu",2010,02:30 PM GMT / 08:00 PM LOCAL,"Narendra Modi Stadium, Ahmedabad",Unknown,Unknown,Delhi Daredevils won by 6 wickets (with 17 balls remaining)
RCB,PBKS,"Apr 02, Fri",2010,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Royal Challengers Bangalore won by 8 wickets (with 7 balls remaining)
KKR,CSK,"Apr 03, Sat",2010,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Chennai Super Kings won by 55 runs
DC,MI,"Apr 04, Sun",2010,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Mumbai Indians won by 98 runs
RCB,RR,"Apr 05, Mon",2010,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Royal Challengers Bangalore won by 10 wickets (with 56 balls remaining)
DC,CSK,"Apr 06, Tue",2010,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Chennai Super Kings won by 5 wickets (with 5 balls remaining)
DCG,PBKS,"Apr 07, Wed",2010,02:30 PM GMT / 08:00 PM LOCAL,"Barabati Stadium, Cuttack",Unknown,Unknown,Deccan Chargers won by 6 runs
RR,KKR,"Apr 08, Thu",2010,10:30 AM GMT / 04:00 PM LOCAL,"Narendra Modi Stadium, Ahmedabad",Unknown,Unknown,Rajasthan Royals won by 34 runs
MI,RCB,"Apr 09, Fri",2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Unknown,Unknown,Royal Challengers Bangalore won by 7 wickets (with 5 balls remaining)
DCG,DC,"Apr 10, Sat",2010,10:30 AM GMT / 04:00 PM LOCAL,"Barabati Stadium, Cuttack",Unknown,Unknown,Deccan Chargers won by 10 runs
CSK,PBKS,"Apr 11, Sun",2010,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Match tied (Kings XI Punjab won the one-over eliminator)
MI,KKR,"Apr 12, Mon",2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Unknown,Unknown,Mumbai Indians won by 7 wickets (with 9 balls remaining)
RCB,CSK,"Apr 13, Tue",2010,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Royal Challengers Bangalore won by 36 runs
PBKS,RR,"Apr 14, Wed",2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Rajasthan Royals won by 31 runs
RCB,DC,"Apr 15, Thu",2010,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Delhi Daredevils won by 17 runs
MI,CSK,"Apr 16, Fri",2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Unknown,Unknown,Mumbai Indians won by 5 wickets (with 6 balls remaining)
RR,DCG,"Apr 17, Sat",2010,02:30 PM GMT / 08:00 PM LOCAL,"Narendra Modi Stadium, Ahmedabad",Unknown,Unknown,Rajasthan Royals won by 8 wickets (with 26 balls remaining)
PBKS,KKR,"Apr 18, Sun",2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Kolkata Knight Riders won by 39 runs
RR,CSK,"Apr 19, Mon",2010,10:30 AM GMT / 04:00 PM LOCAL,"Narendra Modi Stadium, Ahmedabad",Unknown,Unknown,Rajasthan Royals won by 17 runs
DCG,MI,"Apr 21, Wed",2010,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Unknown,Unknown,Mumbai Indians won by 41 runs
DC,KKR,"Apr 22, Thu",2010,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Delhi Daredevils won by 40 runs
MI,PBKS,"Apr 24, Sat",2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Unknown,Unknown,Mumbai Indians won by 4 wickets (with 3 balls remaining)
CSK,RCB,"Apr 25, Sun",2010,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Chennai Super Kings won by 5 wickets (with 7 balls remaining)
DC,RR,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Delhi Daredevils won by 67 runs
KKR,DCG,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Kolkata Knight Riders won by 24 runs
PBKS,RCB,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Royal Challengers Bangalore won by 6 wickets (with 5 balls remaining)
CSK,RR,Unknown,Unknown,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Chennai Super Kings won by 23 runs
MI,DCG,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Unknown,Unknown,Mumbai Indians won by 63 runs
KKR,PBKS,Unknown,Unknown,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Kings XI Punjab won by 8 wickets (with 10 balls remaining)
DC,RCB,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Delhi Daredevils won by 37 runs
DCG,RR,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Vidarbha Cricket Association Stadium, Nagpur",Unknown,Unknown,Rajasthan Royals won by 2 runs
CSK,MI,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Chennai Super Kings won by 24 runs
RR,PBKS,Unknown,Unknown,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Unknown,Unknown,Rajasthan Royals won by 9 wickets (with 30 balls remaining)
KKR,DC,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Kolkata Knight Riders won by 14 runs
RCB,DCG,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Deccan Chargers won by 7 wickets (with 4 balls remaining)
PBKS,MI,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Kings XI Punjab won by 6 wickets (with 4 balls remaining)
DCG,CSK,Unknown,Unknown,10:30 AM GMT / 04:00 PM LOCAL,"Vidarbha Cricket Association Stadium, Nagpur",Unknown,Unknown,Deccan Chargers won by 6 wickets (with 5 balls remaining)
RCB,KKR,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Royal Challengers Bangalore won by 7 wickets (with 17 balls remaining)
DC,PBKS,Unknown,Unknown,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Kings XI Punjab won by 7 wickets (with 8 balls remaining)
RR,MI,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Unknown,Unknown,Mumbai Indians won by 37 runs
DCG,RCB,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Vidarbha Cricket Association Stadium, Nagpur",Unknown,Unknown,Deccan Chargers won by 13 runs
MI,DC,Unknown,Unknown,10:30 AM GMT / 04:00 PM LOCAL,"Brabourne Stadium, Mumbai",Unknown,Unknown,Mumbai Indians won by 39 runs
CSK,KKR,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Chennai Super Kings won by 9 wickets (with 39 balls remaining)
RR,RCB,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Unknown,Unknown,Royal Challengers Bangalore won by 5 wickets (with 26 balls remaining)
